Job Title,Hourly/Fixed,Budget,Level,Skills
Flutter Web Dev,Hourly,N/A,Intermediate,"Web Development, Flutter"
iOS / Android Internal Work Order Application,Hourly,N/A,Intermediate,"Mobile App Development, iOS, Android"
WordPress Designer For Case Study Pages (Existing Site),Hourly,N/A,Expert,"Web Development, WordPress, Graphic Design, Web Design, Adobe Illustrator"
Software Architect / Technical Lead (Node.js Expertise),Hourly: $25.00 - $35.00,N/A,Intermediate,"TypeScript, NestJS, Next.js, Node.js, JavaScript, React, CI/CD"
Shopify Integration Specialist Needed for 3PL and Avalara,Hourly: $25.00 - $50.00,N/A,Expert,"Ecommerce Website Development, Web Development, Shopify, Shopify Templates, Shopify Apps"
Php Laravel Website Design and Error Fixing for Food Business,Fixed price,"Est. budget:
$18.00",Intermediate,"Web Development, WordPress, Web Design, PHP, Graphic Design"
"UI/UX Designer for Platform: Reading, Writing, Content Creation & Networking",Hourly,N/A,Expert,"UX & UI, Web Design, Figma, Digital Design"
Create Landing Page for Teachable Course,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, Web Design, Graphic Design, Landing Page, WordPress, Teachable, ConvertKit"
Programming and Coding,Hourly: $4.00 - $4.00,N/A,Intermediate,"AI Bot, Web Application, Git, API"
Shopify Store Development for Sales Optimization,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, Shopify, Web Design, Business with 1-9 Employees, HTML"
Shopify Developer | Sections,Fixed price,"Est. budget:
$20.00",Expert,"Web Development, Shopify, JavaScript"
AI Developer for Solana crypto agents,Fixed price,"Est. budget:
$1,000.00",Expert,"Web Development, Python, JavaScript, Artificial Intelligence, Microsoft Excel"
Talented Web Developer to troubleshoot CORS Error,Fixed price,"Est. budget:
$100.00",Expert,"React, API Integration, Node.js, Amazon Web Services, JavaScript"
Web Developer Job Search Assistance,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, HTML, PHP"
Php developer,Fixed price,"Est. budget:
$10.00",Intermediate,"Web Development, PHP, Custom PHP, JavaScript, MySQL, API, HTML, CSS, PHP Script"
Platform Development: Connecting Providers and Clients with Geolocation and Payment Features,Hourly: $20.00 - $50.00,N/A,Intermediate,"Web Development, Smartphone, Android, JavaScript, API"
Backend Developer with AI Training Expertise for an AI-Powered Therapy App,Hourly,N/A,Intermediate,"GPT-4 API, REST API, GPT-Neo"
Upload code into Coderbyte IDE at web.,Fixed price,"Est. budget:
$20.00",Entry Level,"Java, Spring Boot, DevOps"
Mobile App Development for Subscription-Based Classifieds,Hourly: $10.00 - $15.00,N/A,Intermediate,"Android, Smartphone, iOS, User Profile Creation, User Authentication"
React native consultant,Hourly: $20.00 - $40.00,N/A,Expert,"Mobile App Development, Android App Development, React Native, Android, iOS, JavaScript, Smartphone, +3"
GTM + Analytics + Woocommerce Data Small Fix,Fixed price,"Est. budget:
$100.00",Expert,"Google Analytics, WooCommerce, Google Tag Manager, WordPress, HTML"
Website design,Fixed price,"Est. budget:
$50.00",Expert,"Web Development, Shopify Development, Shopify, Website, Website Redesign, Mockup, +10"
API for Amazon,Fixed price,"Est. budget:
$50.00",Expert,"API Development, REST API, API, Amazon Web Services, Amazon API Gateway, API Integration, PHP, +3"
Online Complaint System Development,Hourly: $15.00 - $35.00,N/A,Intermediate,"Django, JavaScript, MySQL, HTML, NestJS"
Laravel Developer for Script Installation and Customization,Fixed price,"Est. budget:
$1,000.00",Intermediate,"PHP, Laravel, MySQL, JavaScript, API"
Flutter Mobile App Developer needed,Hourly,N/A,Expert,Flutter
Shopify Conversion Expert Required for Solving Current Issues,Hourly: $20.00 - $60.00,N/A,Expert,"Shopify, Conversion Rate Optimization"
Podio-Globiflow Projects Hunter,Hourly: $3.00 - $5.00,N/A,Expert,"API Integration, Dashboard, Podio, GlobiFlow, API, Lead Generation, Automation, +3"
GoHighLevel Expert Needed for Different Tasks,Hourly: $5.00 - $10.00,N/A,Intermediate,"Web Development, WordPress, Shopify, Web Design, PHP"
Convert Framer Template to Animated React/HTML with Tailwind CSS,Fixed price,"Est. budget:
$100.00",Expert,"Web Development, Tailwind CSS, React, HTML, HTML5, Web Design, Graphic Design, Landing Page, +2"
Web developer needed for a small project.,Fixed price,"Est. budget:
$5.00",Entry Level,"Web Development, Python, WordPress, JavaScript, PHP, HTML5, Java, HTML, CSS, Web Design"
Oracle Hospitality Integration Expert Needed,Hourly,N/A,Intermediate,"Web Development, API, SQL, JavaScript, MySQL, Oracle Database"
Build a responsive WordPress site with booking/payment functionality,Hourly: $9.00 - $20.00,N/A,Intermediate,"Web Development, Ecommerce Website Development, Website Customization, Website"
Podio and Globiflow Project Specialist Needed,Hourly: $3.00 - $5.00,N/A,Intermediate,"Podio, GlobiFlow, Automation, JavaScript, Data Entry"
WordPress Expert Needed for Plugin Conflict Resolution,Hourly: $18.00 - $30.00,N/A,Expert,"Web Development, WordPress, PHP, WordPress Plugin, CSS"
Multiple Projects available for the right candidate,Hourly: $25.00 - $47.00,N/A,Expert,"API Development, Full-Stack Development, C#, .NET Framework, ASP.NET, React, Node.js, +3"
Website basic,Hourly,N/A,Intermediate,"WordPress Development, Figma, WordPress, WooCommerce, Divi, CSS, Responsive Design, +8"
Website Development Support for AIGuilt.com,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, JavaScript"
Fundraising,Hourly,N/A,Intermediate,"Press Distribution, Press Release, Content Distribution & Promotion, Expert, Public Relations, SEO Writing, +1"
Website Design for Field Service Software SaaS Business,Fixed price,"Est. budget:
$500.00",Intermediate,"Web Development, Elementor, Web Design, WordPress, Mockup, PHP"
Experienced Go Language Developer Needed,Hourly,N/A,Expert,"Golang, API"
Talented Web Developer Wanted for Ongoing Collaboration with Growing Web Design Agency,Fixed price,"Est. budget:
$1,000.00",Expert,"Web Development, Mockup, Website Redesign, All in One SEO, WordPress, Web Design, HTML"
I need wordpress website developer for developing my websiite,Hourly,N/A,Intermediate,"Web Development, Microsoft Windows, Remote Connection Support, HTML, MySQL, Arduino, WordPress, +5"
